Ka(HG) [1/M]			I(0)			I(HD) [1/M]			I(D) [1/M]			seed
264409330.959622			21.82678196017			1302253548.71118			14630633.4035409			267931
229114506.625213			0.470513617525689			1305970583.60795			8248756.65350725			442029
249452337.527207			2.92551604577745			1290231140.95987			15828425.3617144			121881
263222261.622375			1e-15			1296080788.13212			20268619.7043272			645654
241411574.51663			16.6112221126833			1261394467.79288			12962919.598762			347140
240254897.696144			1e-15			1287566504.44046			12522718.361017			56279
231169835.160084			18.080870502711			1308358774.40712			5525795.9764475			921140
282440701.318524			13.6212236026842			1297049511.676			20283277.4873071			712624
257236867.197203			15.9002474771557			1301713912.11577			15386625.954695			287280
241157908.922041			6.45848159957172			1275650016.66358			13397450.7311171			424221
