Ka(HG) [1/M]			I(0)			I(HD) [1/M]			I(D) [1/M]			seed
83133.1200428989			405.433781253007			423487633.666695			100			322088
63353.8470732076			204.946935101465			354745823.595518			1e+06			871806
85884.4609222459			413.169496581134			426486139.522887			41191.330233242			199608
77100.6572423567			404.297428696769			381948765.202612			1e+06			501115
78536.0806626568			459.495041011237			383412649.051715			999128.057307006			382554
77559.1164103993			493.201529820118			380578310.509721			954477.924446963			148452
88602.9515821821			476.796418596252			421488190.412032			431412.723296767			904879
89081.4486158674			528.786376241488			429173730.892767			51286.8198939096			126055
86202.9195886173			486.496382197214			414794390.888579			544010.069248712			295846
80118.8505881073			484.835952006943			386782652.207019			885046.165957492			932745
