G0(M)	Signal
0.000000e+00 0.000000e+00
5.263158e-05 4.868110e+02
1.052632e-04 8.928262e+02
1.578947e-04 1.211122e+03
2.105263e-04 1.435867e+03
2.631579e-04 1.562933e+03
3.157895e-04 1.590502e+03
3.684211e-04 1.519701e+03
4.210526e-04 1.355504e+03
4.736842e-04 1.109024e+03
5.263158e-04 8.053367e+02
5.789474e-04 5.083882e+02
6.315789e-04 3.269706e+02
6.842105e-04 2.717313e+02
7.368421e-04 2.746161e+02
7.894737e-04 3.004858e+02
8.421053e-04 3.367497e+02
8.947368e-04 3.784258e+02
9.473684e-04 4.232392e+02
1.000000e-03 4.700221e+02
