var	signal
0.0	763.9
4.12371e-05	1423.86
8.16327e-05	2019.2
0.00012121210000000001	2526.26
0.00016	2999.96
0.0001980198	3410.8
0.0002352941	3790.6
0.0002718447	4135.88
0.0003076923	4441.01
0.0003428571	4719.93
0.0003773585	4975.84
0.000411215	5202.4
0.0004444445	5414.98
0.00047706420000000004	5615.1
0.0005090909	5782.21
0.0005405404999999999	5936.51
0.0005714286	6104.84
0.0006017699	6255.24
0.0006315789	6375.6
0.0006608696	6489.52
0.0006896552	6604.78
0.0007179487000000001	6714.57
0.0007457627	6808.47
0.0007731093	6908.45
0.0008	7001.37
0.0008264463	7087.63
0.000852459	7166.31
var	signal
0.0	772.103
4.12371e-05	1436.35
8.16327e-05	2025.97
0.00012121210000000001	2523.99
0.00016	3010.12
0.0001980198	3418.58
0.0002352941	3790.81
0.0002718447	4133.59
0.0003076923	4442.57
0.0003428571	4726.43
0.0003773585	4967.73
0.000411215	5196.84
0.0004444445	5395.25
0.00047706420000000004	5597.13
0.0005090909	5761.65
0.0005405404999999999	5933.93
0.0005714286	6094.95
0.0006017699	6216.19
0.0006315789	6347.5
0.0006608696	6467.41
0.0006896552	6574.49
0.0007179487000000001	6695.92
0.0007457627	6791.31
0.0007731093	6876.35
0.0008	6962.82
0.0008264463	7054.9
0.000852459	7111.34
var	signal
0.0	776.433
4.12371e-05	1348.02
8.16327e-05	1933.71
0.00012121210000000001	2475.66
0.00016	2962.98
0.0001980198	3382.42
0.0002352941	3783.71
0.0002718447	4115.27
0.0003076923	4449.17
0.0003428571	4740.86
0.0003773585	4972.83
0.000411215	5213.38
0.0004444445	5407.04
0.00047706420000000004	5612.67
0.0005090909	5810.18
0.0005405404999999999	6013.25
0.0005714286	6097.87
0.0006017699	6244.25
0.0006315789	6373.96
0.0006608696	6499.27
0.0006896552	6620.72
0.0007179487000000001	6734.27
0.0007457627	6854.66
0.0007731093	6945.03
0.0008	7023.6
0.0008264463	7085.93
0.000852459	7221.22
