Ka(HD) [1/M],I(0),I(HD) [1/M],I(D) [1/M],repetition,dataset,ind,error,quantile
2449.60268171648,638.822916178483,65849050.7781795,248300.215446016,16,1,1.16,36.097818083298,0.05
2411.82043404919,317.585752520736,68784226.4943424,2573719.21263968,35,1,1.35,24.681239488528,0.05
2221.4852317693,711.827067236337,68760548.338424,1e-15,37,1,1.37,37.5410430185242,0.05
2281.78717216539,791.207700050143,66494766.8419618,1e-15,41,1,1.41,20.8096114556184,0.05
2250.67262768583,686.830420925088,68639129.9481485,1e-15,53,1,1.53,37.8449229332734,0.05
1970.77020142066,133.621515970086,74850876.1447347,4906582.19884401,54,1,1.54,36.8722658576019,0.05
2408.02385742516,308.14880281859,68166781.022393,2905052.51345691,87,1,1.87,30.7512226387884,0.05
2146.08276591655,845.897679134872,67589078.3301115,1e-15,28,2,2.28,32.9560439495245,0.05
2527.17484590656,1e-15,69000706.4835397,4493769.67956544,38,2,2.38,36.8464855406373,0.05
2266.08224113295,781.520932499393,66169086.9529093,1e-15,85,2,2.85,27.5505017339283,0.05
2384.37387209212,1e-15,70183302.5074549,4834746.79058602,86,2,2.86,32.911340918958,0.05
2239.53627928297,804.60859489808,66968410.8707332,1e-15,99,2,2.99,31.4431137243682,0.05
2405.37950302151,525.325970782981,67924667.3147987,730396.775823469,18,3,3.18,33.7880590979982,0.05
2302.31448279694,690.394199296364,67402304.1228283,1e-15,32,3,3.32,33.4772068683064,0.05
2130.15393292098,275.517148815645,72585846.2346675,3062774.07014577,41,3,3.41,29.0684924140479,0.05
