Ka(HG) [1/M],I(0),I(HD) [1/M],I(D) [1/M],repetition,dataset,ind,error,quantile
60654.8058332174,47.9251720011213,375149145.843678,455927.358941824,2,2,2.2,47.6996614287191,0.05
58247.285279085,37.6041670943469,373074931.024868,112048.367998605,15,2,2.15,52.4243047040695,0.05
61704.438386186,43.2684326758292,384341150.59594,172399.722221687,17,2,2.17,47.5860478124097,0.05
55958.3390471276,37.0816149070221,361125564.90643,483401.250704298,24,2,2.24,38.9459167724229,0.05
56209.4776129199,14.8291008491917,366625102.057459,250605.658330818,63,2,2.63,46.6767013462433,0.05
59247.6377393528,67.511934367117,369447221.519858,374330.018920704,90,2,2.90,52.4797314451117,0.05
51096.9500970283,1e-15,371581653.662836,100,10,3,3.10,35.4416835288318,0.05
50652.9473445776,28.6432710613553,363414688.142395,196683.147815388,31,3,3.31,51.5589237508451,0.05
51337.5117895667,2.94719819056053,373313955.821239,100,36,3,3.36,40.7300652337572,0.05
50547.5881801912,12.6015823002034,369151966.72007,100,44,3,3.44,34.4003203102011,0.05
54219.8413197988,72.2702967985117,375785168.10218,221117.823936244,45,3,3.45,43.1812616952441,0.05
44217.958560249,67.3496713764061,331431077.137777,939930.438925098,49,3,3.49,51.3839682047147,0.05
47974.0791454228,35.0007641132425,353599501.015487,452628.150000503,73,3,3.73,45.3182784217928,0.05
49674.9308194958,7.57894247997048,351613858.301065,935283.633465424,90,3,3.90,50.2441550183912,0.05
49329.851769676,5.99282222554694,366888635.577187,18972.6995966924,91,3,3.91,52.6130471258843,0.05
