Ka(HG) [1/M],I(0),I(HD) [1/M],I(D) [1/M],repetition,dataset,ind,error,quantile
322589783.242054,4.22773862675401,1328811001.48805,28333104.0020465,8,1,1.8,53.5758465339504,0.05
333900978.154356,30.4495378147746,1319199060.60067,26410807.3261666,24,1,1.24,54.7295678085696,0.05
236347798.592576,15.857899229433,1346778634.91736,1e-15,28,1,1.28,60.706058881783,0.05
261846994.153705,100,1311000218.79153,512454.42769447,52,1,1.52,61.7433226755296,0.05
290783963.26712,16.1118205048951,1315013617.47518,21109658.1258318,57,1,1.57,61.1181988649214,0.05
253714776.877448,66.3572347823485,1317256487.54929,1e-15,70,1,1.70,60.2437115457293,0.05
281943696.638261,1.34379144456735,1319005061.73105,19728765.5195357,78,1,1.78,61.3282871220808,0.05
315798466.608886,15.3274773878003,1339120623.09405,27861668.9563242,79,1,1.79,61.7110726253323,0.05
254622410.620037,73.0268774568933,1331333158.1554,1e-15,92,1,1.92,60.4686108134467,0.05
292911116.047874,12.1140160311706,1351747149.60981,17007144.1247504,33,2,2.33,60.3527981803204,0.05
373777748.980638,0.493062397091631,1349842566.06659,38416449.0399157,36,2,2.36,60.0260958190846,0.05
279116522.203731,1e-15,1374760307.5708,14011808.3210534,4,3,3.4,59.0358841898231,0.05
328065137.836987,1.68321797471557,1358849649.16992,28134183.3568075,36,3,3.36,58.2904165612916,0.05
350066180.915095,1.10065072732847,1365065624.21394,33678553.33305,41,3,3.41,57.6367713828708,0.05
317538954.574696,8.50858558595824,1363460335.09098,27805290.791936,99,3,3.99,61.6137826804204,0.05
