var	signal
0.0	506.246
2.985e-05	1064.85
5.9409999999999995e-05	1914.72
8.867e-05	2732.2
0.00011765	3421.99
0.00014634	4024.26
0.00017476	4607.29
0.0002029	5135.49
0.00023077000000000001	5591.36
0.00025837	6040.81
0.00028571	6475.16
0.0003128	6842.47
0.00033962	7207.67
0.0003662	7560.72
0.00039252	7858.55
0.00041860000000000004	8148.53
0.00044444	8440.45
0.00047005	8687.95
0.0004954100000000001	8960.79
0.0005205499999999999	9197.73
0.0005454500000000001	9427.38
0.00057014	9660.44
0.00059459	9856.56
0.00061883	10056.6
var	signal
0.0	103.734
2.985e-05	1145.26
5.9409999999999995e-05	2063.56
8.867e-05	2820.12
0.00011765	3523.29
0.00014634	4220.31
0.00017476	4779.05
0.0002029	5278.34
0.00023077000000000001	5777.3
0.00025837	6249.23
0.00028571	6634.14
0.0003128	7017.55
0.00033962	7389.89
0.0003662	7742.85
0.00039252	8051.83
0.00041860000000000004	8342.7
0.00044444	8628.14
0.00047005	8899.89
0.0004954100000000001	9139.2
0.0005205499999999999	9381.25
0.0005454500000000001	9614.69
0.00057014	9843.56
0.00059459	10063.5
0.00061883	10261
var	signal
0.0	68.7447
2.985e-05	1136.26
5.9409999999999995e-05	2112.9
8.867e-05	3086.38
0.00011765	3755.73
0.00014634	4453.27
0.00017476	5092.96
0.0002029	5659.49
0.00023077000000000001	6128.61
0.00025837	6616.46
0.00028571	7015.62
0.0003128	7407.29
0.00033962	7780.98
0.0003662	8105.76
0.00039252	8412.07
0.00041860000000000004	8726.03
0.00044444	9003.59
0.00047005	9249.76
0.0004954100000000001	9504.99
0.0005205499999999999	9723.99
0.0005454500000000001	9964.43
0.00057014	10177.7
0.00059459	10411
0.00061883	10579.2
