var,Signal487,Signal512,Signal524,Signal527,Signal602,Signal677
0,8192.73,6031.69,6111.49,6086.76,903.22,52.2857
0.00000058,6789,4994.54,5060.89,5038.74,751.46,43.7084
0.00000116,5498.31,4046.01,4100.71,4084.54,610.409,36.0859
0.00000173,4367.75,3212.58,3253.89,3242.62,486.533,28.8864
0.00000231,3453.44,2542.3,2576.92,2567.41,388.368,23.2633
0.00000288,2753.85,2027.47,2056.72,2049.77,311.775,18.9431
0.00000345,2227.47,1638.81,1663.3,1658.11,255.234,15.9594
0.00000401,1820.81,1336.47,1357.81,1354.42,210.8,13.5186
0.00000458,1534.93,1124.97,1144.09,1139.72,179.848,11.5043
0.00000514,1322.08,965.612,982.874,979.845,155.384,10.114
0.0000057,1156.14,847.148,862.044,859.938,138.25,9.23635
0.00000626,1025.38,748.859,764.769,763.163,123.697,8.52084
0.00000682,921.565,671.958,685.906,685.469,112.004,7.89337
0.00000737,836.776,609.925,624.123,623.525,103.237,7.43092
0.00000792,765.992,557.861,570.526,569.866,94.9752,6.79369
0.00000847,706.481,513.844,526.828,526.367,88.6117,6.57824
0.00000902,655.125,476.034,487.433,487.18,83.6078,6.11623
var,Signal487,Signal512,Signal524,Signal527,Signal602,Signal677
0,8087.92,5973.03,6058.77,6034.35,904.745,53.1348
0.00000058,6741.06,4975.43,5044.24,5024.42,753.59,44.3251
0.00000116,5509.46,4056.64,4112.79,4097.41,614.107,36.2221
0.00000173,4413.93,3249.25,3297.89,3285.98,495.044,29.2661
0.00000231,3513.03,2583.82,2621.35,2612.99,394.72,24.0444
0.00000288,2805.15,2063.22,2093.57,2087.09,317.929,19.6427
0.00000345,2269.89,1663.73,1691.09,1685.45,259.095,16.3228
0.00000401,1876.38,1374.43,1399.97,1394.37,217.259,13.6198
0.00000458,1583.43,1160.81,1182,1178.21,184.475,11.7227
0.00000514,1360.29,997.653,1014.51,1011.05,160.483,10.7167
0.0000057,1192.21,871.045,887.382,886.918,141.911,9.56275
0.00000626,1058.26,769.978,787.162,785.6,126.92,8.76224
0.00000682,950.233,693.099,706.373,704.339,115.507,8.07483
0.00000737,862.275,627.027,641.454,640.877,105.689,7.35967
0.00000792,790.209,573.877,587.582,586.801,98.1525,7.10523
0.00000847,728.585,528.571,541.611,540.602,91.3463,6.67052
0.00000902,675.111,489.647,501.799,501.479,85.3453,6.41842
var,Signal487,Signal512,Signal524,Signal527,Signal602,Signal677
0,8026.26,5924.44,6004.34,5982.56,895.025,52.7211
0.00000058,6721.31,4956.5,5026.7,5007.77,749.2,44.2021
0.00000116,5551.8,4089.62,4149.58,4133.76,619.351,36.746
0.00000173,4492.66,3307.96,3357.08,3343.66,503.4,30.4378
0.00000231,3603.86,2649.39,2686.79,2676.51,404.919,24.4834
0.00000288,2884.34,2120.68,2151.01,2144.08,326.311,19.9311
0.00000345,2337.06,1717.5,1745.15,1738.6,265.902,16.588
0.00000401,1929,1412.36,1434.35,1428.37,221.791,13.9204
0.00000458,1617.43,1185.83,1204.96,1201.2,187.933,12.1738
0.00000514,1386.21,1016.91,1034,1030.2,163.212,10.8053
0.0000057,1215.32,886.075,901.667,899.379,143.734,9.43242
0.00000626,1074.31,785.198,798.642,796.344,128.995,8.81436
0.00000682,961.621,699.805,715.351,714.035,116.531,8.06328
0.00000737,869.832,634.747,647.069,645.974,106.203,7.53058
0.00000792,796.861,581.881,594.217,592.826,98.6275,6.95938
0.00000847,735.571,533.355,546.793,545.796,91.4654,6.6714
0.00000902,680.888,493.435,504.332,503.584,85.4394,6.37259
