var	signal
0.0	5723.38
4.975e-07	5093.82
9.901e-07	4442.1
1.4778e-06	3824.87
1.9608e-06	3270.18
2.439e-06	2752.29
2.9126e-06	2295.3
3.3816000000000004e-06	1936.14
3.8462e-06	1636.69
4.3061999999999995e-06	1388.49
4.7619e-06	1203.12
5.2133000000000006e-06	1055.42
5.6604e-06	938.988
6.1033e-06	831.478
6.5421e-06	758.139
6.9767000000000005e-06	687.357
7.4074e-06	630.271
7.8341e-06	583.479
8.2569e-06	542.406
8.675800000000001e-06	507.428
9.0909e-06	474.301
var	signal
0.0	5826.29
4.975e-07	5207.25
9.901e-07	4530
1.4778e-06	3876.8
1.9608e-06	3314.88
2.439e-06	2787.08
2.9126e-06	2322.61
3.3816000000000004e-06	1951.38
3.8462e-06	1644.28
4.3061999999999995e-06	1399
4.7619e-06	1211.24
5.2133000000000006e-06	1052.89
5.6604e-06	931.75
6.1033e-06	829.022
6.5421e-06	754.79
6.9767000000000005e-06	683.962
7.4074e-06	629.471
7.8341e-06	580.133
8.2569e-06	539.111
8.675800000000001e-06	504.288
9.0909e-06	473.968
var	signal
0.0	5846.1
4.975e-07	5251.42
9.901e-07	4579.22
1.4778e-06	3922.71
1.9608e-06	3351.84
2.439e-06	2791.56
2.9126e-06	2333.07
3.3816000000000004e-06	1969.98
3.8462e-06	1653.07
4.3061999999999995e-06	1398.69
4.7619e-06	1210.67
5.2133000000000006e-06	1054.34
5.6604e-06	936.536
6.1033e-06	827.836
6.5421e-06	757.271
6.9767000000000005e-06	687.888
7.4074e-06	628.26
7.8341e-06	582.921
8.2569e-06	541.771
8.675800000000001e-06	505.525
9.0909e-06	478.098
