var	signal
0.0	32.0437
3.394e-05	474.367
6.753e-05	865.18
0.00010079	1267.49
0.00013372999999999998	1614.21
0.00016634	1922.46
0.00019863999999999998	2219.53
0.00023063	2508.84
0.00026231000000000003	2755.75
0.00029369	2990.02
0.00032476	3220.67
0.00035554	3437.35
0.00038604000000000004	3641.53
0.00041624	3841.97
0.00044617	4040.68
0.00047581	4206.51
0.00050519	4380.99
0.00053429	4557.6
0.00056312	4711.33
0.0005916900000000001	4867.13
0.00062	5026.86
var	signal
0.0	55.6171
3.394e-05	546.539
6.753e-05	963.175
0.00010079	1340.85
0.00013372999999999998	1705.19
0.00016634	2030.33
0.00019863999999999998	2327.32
0.00023063	2569.3
0.00026231000000000003	2854.71
0.00029369	3076.21
0.00032476	3291.26
0.00035554	3516.86
0.00038604000000000004	3709.81
0.00041624	3902.82
0.00044617	4074.62
0.00047581	4246.33
0.00050519	4411.27
0.00053429	4562.52
0.00056312	4726.85
0.0005916900000000001	4876.48
0.00062	5016.91
var	signal
0.0	438.002
3.394e-05	889.56
6.753e-05	1344.26
0.00010079	1686.21
0.00013372999999999998	2039.33
0.00016634	2351.91
0.00019863999999999998	2644.44
0.00023063	2891.29
0.00026231000000000003	3154.01
0.00029369	3406.55
0.00032476	3589.01
0.00035554	3788.41
0.00038604000000000004	4039.16
0.00041624	4215.46
0.00044617	4389.02
0.00047581	4561.92
0.00050519	4733.65
0.00053429	4888.56
0.00056312	5069.01
0.0005916900000000001	5201.59
0.00062	5341.06
