var	signal
0.0	2319
3e-05	3765
6e-05	5254
0.0001	6931
0.00015	8839
0.000225	11253
0.0003	13427
0.0004	15223
0.0005	16927
0.0006	17656
0.0007	19180
0.00084	19928
var	signal
0.0	2117
3e-05	3705
6e-05	5353
0.0001	6706
0.00015	8928
0.000225	11222
0.0003	12796
0.0004	14888
0.0005	16487
0.0006	17641
0.0007	18737
0.00084	19623
var	signal
0.0	2239
3e-05	3796
6e-05	5174
0.0001	6955
0.00015	8800
0.000225	11028
0.0003	12862
0.0004	14811
0.0005	16339
0.0006	17265
0.0007	18464
0.00084	19515
var	signal
0.0	2239
3e-05	3727
6e-05	5165
0.0001	6709
0.00015	8622
0.000225	11041
0.0003	12592
0.0004	14636
0.0005	16388
0.0006	17260
0.0007	18255
0.00084	19542
var	signal
0.0	2215
3e-05	3682
6e-05	5130
0.0001	6778
0.00015	8598
0.000225	11116
0.0003	12594
0.0004	14608
0.0005	16468
0.0006	17400
0.0007	18286
0.00084	19107
var	signal
0.0	2138
3e-05	3664
6e-05	5125
0.0001	6696
0.00015	8492
0.000225	10772
0.0003	12815
0.0004	14596
0.0005	16024
0.0006	17011
0.0007	18266
0.00084	19334
var	signal
0.0	2134
3e-05	3676
6e-05	5081
0.0001	6664
0.00015	7817
0.000225	10716
0.0003	12726
0.0004	14381
0.0005	15785
0.0006	17149
0.0007	18232
0.00084	19157
var	signal
0.0	2129
3e-05	3660
6e-05	4985
0.0001	6559
0.00015	8617
0.000225	10553
0.0003	12317
0.0004	14332
0.0005	15826
0.0006	17159
0.0007	18084
0.00084	19184
