var	signal
0.0	352
0.0001	5594
0.00015	7626
0.0002	9513
0.00025	10955
0.0003	12640
0.00035	13796
0.0004	15065
0.00045	16066
0.0005	17042
0.00055	17791
0.0006	18447
var	signal
0.0	325
0.0001	5375
0.00015	7509
0.0002	9131
0.00025	10918
0.0003	12432
0.00035	13674
0.0004	14854
0.00045	15965
0.0005	17039
0.00055	17809
0.0006	18489
var	signal
0.0	352
0.0001	5639
0.00015	7574
0.0002	9350
0.00025	10761
0.0003	12322
0.00035	13631
0.0004	14670
0.00045	15973
0.0005	16767
0.00055	17571
0.0006	18360
var	signal
0.0	326
0.0001	5327
0.00015	7573
0.0002	9037
0.00025	10861
0.0003	12307
0.00035	13263
0.0004	14491
0.00045	15848
0.0005	16702
0.00055	17566
0.0006	18399
var	signal
0.0	326
0.0001	5546
0.00015	7580
0.0002	9147
0.00025	10764
0.0003	12015
0.00035	13027
0.0004	14472
0.00045	15771
0.0005	16339
0.00055	17685
0.0006	18507
var	signal
0.0	368
0.0001	5300
0.00015	7468
0.0002	9054
0.00025	10836
0.0003	11938
0.00035	13155
0.0004	14347
0.00045	15591
0.0005	16476
0.00055	17259
0.0006	18303
var	signal
0.0	334
0.0001	5317
0.00015	7435
0.0002	9184
0.00025	10659
0.0003	11989
0.00035	13621
0.0004	14459
0.00045	15578
0.0005	16328
0.00055	17231
0.0006	18352
var	signal
0.0	330
0.0001	5456
0.00015	7362
0.0002	9082
0.00025	10716
0.0003	11875
0.00035	13183
0.0004	14196
0.00045	15880
0.0005	16241
0.00055	17156
0.0006	17706
