var	signal
0.0	291869
1e-06	219905
2e-06	157652
2.5e-06	133222
3e-06	111776
3.5e-06	93651
4e-06	80120
4.5e-06	68992
5e-06	60169
6e-06	47205
8e-06	33074
9e-06	28981
var	signal
0.0	290470
1e-06	216912
2e-06	156295
2.5e-06	131353
3e-06	110537
3.5e-06	93165
4e-06	79574
4.5e-06	68809
5e-06	59759
6e-06	47141
8e-06	33578
9e-06	28901
var	signal
0.0	289687
1e-06	218171
2e-06	155742
2.5e-06	131975
3e-06	111005
3.5e-06	92473
4e-06	79777
4.5e-06	68750
5e-06	59437
6e-06	47266
8e-06	32979
9e-06	28940
var	signal
0.0	287169
1e-06	213471
2e-06	155498
2.5e-06	131992
3e-06	109084
3.5e-06	91562
4e-06	78007
4.5e-06	67276
5e-06	59571
6e-06	47003
8e-06	33387
9e-06	28573
var	signal
0.0	288400
1e-06	215289
2e-06	153826
2.5e-06	129963
3e-06	108440
3.5e-06	91567
4e-06	78084
4.5e-06	67350
5e-06	59194
6e-06	47273
8e-06	32987
9e-06	28783
var	signal
0.0	286204
1e-06	213569
2e-06	155597
2.5e-06	129908
3e-06	109075
3.5e-06	91378
4e-06	77602
4.5e-06	67460
5e-06	59348
6e-06	47305
8e-06	33372
9e-06	29195
var	signal
0.0	284036
1e-06	215709
2e-06	153592
2.5e-06	128898
3e-06	108063
3.5e-06	91934
4e-06	77794
4.5e-06	67364
5e-06	58515
6e-06	46673
8e-06	33055
9e-06	28576
var	signal
0.0	283840
1e-06	213947
2e-06	152072
2.5e-06	128413
3e-06	108598
3.5e-06	90986
4e-06	77473
4.5e-06	66000
5e-06	58829
6e-06	46773
8e-06	32718
9e-06	28563
