var	signal
0.0	291869
1e-06	219905
2e-06	157652
2.5e-06	133222
3e-06	111776
3.5e-06	93651
4e-06	80120
4.5e-06	68992
5e-06	60169
6e-06	47205
8e-06	33074
9e-06	28981
var	signal
0.0	290470
1e-06	216912
2e-06	156295
2.5e-06	131353
3e-06	110537
3.5e-06	93165
4e-06	79574
4.5e-06	68809
5e-06	59759
6e-06	47141
8e-06	33578
9e-06	28901
var	signal
0.0	289687
1e-06	218171
2e-06	155742
2.5e-06	131975
3e-06	111005
3.5e-06	92473
4e-06	79777
4.5e-06	68750
5e-06	59437
6e-06	47266
8e-06	32979
9e-06	28940
