guest,signal
0,0.652593163
1.00E-07,0.625830834
2.00E-07,0.59760106
3.00E-07,0.568336413
4.00E-07,0.538605992
5.00E-07,0.509076212
6.00E-07,0.480442809
7.00E-07,0.453345361
8.00E-07,0.428286524
9.00E-07,0.40558051
1.00E-06,0.385344585
1.10E-06,0.367529159
1.20E-06,0.351968717
1.30E-06,0.338434288
1.40E-06,0.3266753
1.50E-06,0.316447156
1.60E-06,0.307526286
1.70E-06,0.299716359
1.80E-06,0.292849146
1.90E-06,0.286782597
2.00E-06,0.281397733
2.10E-06,0.276595271
2.20E-06,0.272292426
2.30E-06,0.268420086
2.40E-06,0.264920412
2.50E-06,0.261744829
2.60E-06,0.258852387
2.70E-06,0.256208419
2.80E-06,0.253783444
2.90E-06,0.251552283
3.00E-06,0.249493336
3.10E-06,0.24758799
3.20E-06,0.245820143
3.30E-06,0.244175803
3.40E-06,0.242642769
3.50E-06,0.241210354
3.60E-06,0.23986917
3.70E-06,0.238610935
3.80E-06,0.237428323
3.90E-06,0.236314829
4.00E-06,0.235264662
4.10E-06,0.23427265
4.20E-06,0.23333416
4.30E-06,0.232445033
4.40E-06,0.231601522
4.50E-06,0.230800248
4.60E-06,0.230038151
4.70E-06,0.229312458
4.80E-06,0.228620648
4.90E-06,0.227960426
6.00E-06,0.227329698
guest,signal
0,0.652593163
0.0000001,0.625830834
0.0000002,0.59760106
0.0000003,0.568336413
0.0000004,0.538605992
0.0000005,0.509076212
0.0000006,0.480442809
0.0000007,0.453345361
0.0000008,0.428286524
0.0000009,0.40558051
0.000001,0.385344585
0.0000011,0.367529159
0.0000012,0.351968717
0.0000013,0.338434288
0.0000014,0.3266753
0.0000015,0.316447156
0.0000016,0.307526286
0.0000017,0.299716359
0.0000018,0.292849146
0.0000019,0.286782597
0.000002,0.281397733
0.0000021,0.276595271
0.0000022,0.272292426
0.0000023,0.268420086
0.0000024,0.264920412
0.0000025,0.261744829
0.0000026,0.258852387
0.0000027,0.256208419
0.0000028,0.253783444
0.0000029,0.251552283
0.000003,0.249493336
0.0000031,0.24758799
0.0000032,0.245820143
0.0000033,0.244175803
0.0000034,0.242642769
0.0000035,0.241210354
0.0000036,0.23986917
0.0000037,0.238610935
0.0000038,0.237428323
0.0000039,0.236314829
0.000004,0.235264662
0.0000041,0.23427265
0.0000042,0.23333416
0.0000043,0.232445033
0.0000044,0.231601522
0.0000045,0.230800248
0.0000046,0.230038151
0.0000047,0.229312458
0.0000048,0.228620648
0.0000049,0.227960426
0.000005,0.227329698
